zipcode18,hsanum,hrrnum
60004,14004,161
60005,14004,161
60006,14004,161
60007,14038,166
60008,14004,161
60009,14038,166
60010,14006,158
60011,14006,158
60016,14104,161
60017,14104,161
60018,14104,161
60019,14104,161
60022,14060,161
60025,14040,161
60026,14040,161
60029,14104,161
60038,14004,161
60043,14040,161
60053,14104,161
60055,14004,161
60056,14004,161
60062,14040,161
60065,14040,161
60067,14004,161
60068,14104,161
60070,14004,161
60074,14004,161
60076,14125,161
60077,14125,161
60078,14004,161
60082,14040,161
60089,14004,161
60090,14004,161
60091,14040,161
60093,14040,161
60094,14004,161
60095,14004,161
60103,14037,158
60104,14084,166
60105,14039,166
60107,14063,158
60120,14037,158
60130,14098,166
60131,14084,166
60133,14037,158
60141,14084,166
60153,14084,166
60154,14071,166
60155,14084,166
60159,14004,161
60160,14084,166
60161,14084,166
60162,14039,166
60163,14039,166
60164,14039,166
60165,14084,166
60168,14038,166
60169,14063,158
60171,14084,166
60172,14038,166
60173,14004,161
60176,14084,166
60179,14037,158
60192,14006,158
60193,14038,166
60194,14063,158
60195,14063,158
60196,14004,161
60201,14040,161
60202,14040,161
60203,14040,161
60204,14040,161
60208,14040,161
60301,14098,166
60302,14098,166
60303,14098,166
60304,14098,166
60305,14098,166
60402,14010,166
60406,14012,155
60411,14024,155
60412,14024,155
60415,14097,155
60418,14012,155
60419,14055,155
60422,14057,155
60425,14024,155
60426,14055,155
60428,14055,155
60429,14057,155
60430,14057,155
60439,14068,164
60443,14057,155
60445,14012,155
60452,14057,155
60453,14097,155
60454,14097,155
60455,14097,155
60456,14097,155
60457,14097,155
60458,14071,166
60459,14097,155
60461,14024,155
60462,14101,155
60463,14101,155
60464,14101,155
60465,14101,155
60466,14024,155
60467,14101,155
60469,14055,155
60471,14057,155
60472,14012,155
60473,14055,155
60475,14024,155
60476,14055,155
60477,14101,155
60478,14057,155
60480,14071,166
60482,14101,155
60487,14101,155
60499,14010,166
60501,14071,166
60513,14071,166
60521,14062,163
60525,14071,166
60526,14071,166
60527,14062,163
60534,14010,166
60546,14010,166
60558,14071,166
60601,14023,156
60602,14023,156
60603,14023,156
60604,14023,156
60605,14023,156
60606,14023,156
60607,14023,156
60608,14023,156
60609,14023,156
60610,14023,156
60611,14023,156
60612,14023,156
60613,14023,156
60614,14023,156
60615,14023,156
60616,14023,156
60617,14023,156
60618,14023,156
60619,14023,156
60620,14023,156
60621,14023,156
60622,14023,156
60623,14023,156
60624,14023,156
60625,14023,156
60626,14023,156
60628,14023,156
60629,14023,156
60630,14023,156
60631,14023,156
60632,14023,156
60634,14023,156
60636,14023,156
60637,14023,156
60638,14010,166
60639,14023,156
60640,14023,156
60641,14023,156
60642,14023,156
60643,14023,156
60644,14023,156
60645,14023,156
60646,14023,156
60647,14023,156
60649,14023,156
60651,14023,156
60652,14097,155
60653,14023,156
60654,14023,156
60655,14097,155
60656,14023,156
60657,14023,156
60659,14023,156
60660,14023,156
60661,14023,156
60664,14023,156
60666,14084,166
60668,14023,156
60669,14023,156
60670,14023,156
60673,14023,156
60674,14023,156
60675,14023,156
60677,14023,156
60678,14023,156
60680,14023,156
60681,14023,156
60682,14023,156
60684,14023,156
60685,14023,156
60686,14023,156
60687,14023,156
60688,14084,166
60689,14023,156
60690,14023,156
60691,14023,156
60693,14023,156
60694,14023,156
60695,14023,156
60696,14023,156
60697,14023,156
60699,14023,156
60701,14084,166
60706,14023,156
60707,14084,166
60712,14023,156
60714,14104,161
60803,14097,155
60804,14010,166
60805,14097,155
60827,14055,155
